"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Verdopplungszeit am Graphen ablesen";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"Am Graphen eines exponentiellen Wachstums ablesen, nach welcher Zeit sich der Startwert verdoppelt hat, und das Vorgehen beschreiben.";"2020-OS-K4b";"neu"
"Netz eines Prismas vervollständigen";"Raum und Form";"Körper, Netze, Schrägbilder";"Ein begonnenes Netz eines Prismas (z. B. mit Trapezquerschnitt) auf Kästchenpapier um die fehlenden Flächen mit richtigen Maßen ergänzen.";"2020-OS-K5a";"neu"
"Packungsanzahl in Quader bestimmen";"Raum und Form";"Körper, Netze, Schrägbilder";"Größtmögliche Anzahl gleicher Körper in einer quaderförmigen Kiste durch Anordnen (nicht nur Volumendivision) bestimmen und erläutern.";"2020-OS-K5c";"neu"
"Wahrscheinlichkeit dreistufig unabhängig";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Wahrscheinlichkeit eines Ereignisses („mindestens zweimal“) in einem dreistufigen Versuch mit unabhängigen Stufen über Pfad- und Summenregel berechnen.";"2020-OS-K6c";"neu"
"Grundseite aus Dreiecksfläche berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Grundseite oder Höhe eines Dreiecks aus Flächeninhalt und der anderen Größe durch Umstellen von A = ½ · g · h berechnen.";"2020-OS-K7b";"neu"
"Winkel über Scheitel- oder Nebenwinkel bestimmen";"Raum und Form";"Ebene Figuren und Winkel";"Winkel in einer Figur mit verlängerten Seiten über Scheitel- oder Nebenwinkel angeben, ohne Parallelen; überflüssige Angaben erkennen.";"2019-OS-B1a";"neu"
"Flächenformel Rechteck angeben";"Größen und Messen";"Flächeninhalt und Umfang";"Zu einem beschrifteten Rechteck oder einer aus Rechtecken zusammengesetzten Figur die Gleichung für den Flächeninhalt als Term angeben.";"2019-OS-B1e";"neu"
"Kantenzahl eines Körpers angeben";"Raum und Form";"Körper, Netze, Schrägbilder";"Anzahl der Kanten, Ecken oder Flächen eines benannten Körpers (Pyramide, Prisma) ohne Abbildung angeben.";"2019-OS-B1f";"neu"
"Nullstelle am Graphen ablesen";"Gleichungen und Funktionen";"Lineare Funktionen";"Schnittstelle eines gezeichneten Graphen mit der x-Achse aus dem Koordinatensystem ablesen.";"2019-OS-K2a";"neu"
"Graph nach Eigenschaft auswählen";"Gleichungen und Funktionen";"Lineare Funktionen";"Unter mehreren gezeichneten Graphen den mit einer genannten Eigenschaft (Anstieg, Lage zur Achse) auswählen.";"2019-OS-K2b";"neu"
"Geradengleichung zu Graph zuordnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Zu gezeichneten Geraden aus einer Auswahl die passende Gleichung über Steigung und y-Achsenabschnitt auswählen.";"2019-OS-K2c";"neu"
"Streckenlänge aus Koordinaten berechnen";"Größen und Messen";"Satz des Pythagoras";"Länge einer Strecke zwischen zwei Punkten im Koordinatensystem über die Koordinatendifferenzen mit dem Satz des Pythagoras berechnen.";"2019-OS-K2d";"neu"
"Mantelfläche Prisma berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Gesamtfläche der rechteckigen Seitenflächen eines geraden Prismas aus Breite und Höhe der Rechtecke berechnen.";"2019-OS-K4b";"neu"
"Flächeninhalt Dreieck berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Flächeninhalt eines Dreiecks aus gegebener Grundseite und Höhe berechnen.";"2019-OS-K4c";"neu"
"Volumen Prisma berechnen";"Größen und Messen";"Volumen und Oberfläche";"Volumen eines geraden Prismas als Grundfläche mal Höhe berechnen.";"2019-OS-K4c";"neu"
"Masse aus Volumen berechnen";"Größen und Messen";"Einheiten umrechnen";"Masse aus Volumen und Masse je Volumeneinheit (Dichte) berechnen, ggf. mit Füllgrad in Prozent und Leermasse.";"2019-OS-K4c";"neu"
"Wahrscheinlichkeit dreistufig ohne Zurücklegen";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Wahrscheinlichkeit eines Pfades in einem dreistufigen Versuch ohne Zurücklegen mit von Stufe zu Stufe verkleinerter Grundmenge berechnen.";"2019-OS-K6b";"neu"
